PROJECT REFERENCE NUMBER|DESCRIPTION|CSC NO|DATE ISSUED|FLOOR AREA|COST|RESIDENTIAL UNITS
E4111-00020-2013-BP01|ADDITIONS & ALTERATIONS TO EXISTING SINGLE USER  PHARMACEUTICAL MANUFACTURING FACILITY ON LOT 3633K  MK 7 (JTC PLOT A3001873)|201440755|14/03/2014|0|3000000|0
E2393-00206-2013-BP01|ADDITION OF A SWIMMING POOL TO THE EXISTING 2-STOREYDETACHED DWELLING HOUSE WITH AN ATTIC ON LOT(S) 01690P  MK05 AT 4 SUNSET GROVE SINGAPORE 597444|201440756|14/03/2014|93|120000|0
A1823-00800-2011-BP01|ERECTION OF THE 2-STOREY SEMI-DETACHED DWELLING HOUSE WITH AN ATTIC ON LOT 00565K MK15 AT 84 TAMAN PERMATA|201440767|14/03/2014|784|1600000|1
A1631-00003-2013-BP01|ADDITION OF A SINGLE-STOREY RETAIL KIOSK TO THE EXISTING THEMED DEVELOPMENT COMPRISING SINGLE-STOREY FACILITY BUILDINGS, A SINGLE-STOREY FAMILY RESTAURANT, A SINGLE-STOREY RETAIL WITH ACTIVITY AREA, A SINGLE-STOREY STORES-CUM-BIN CENTRE AND AN OPEN WATER PLAY AREA, MK34 ON LOT 00254W PT , 00589N PT , 02372K , 02373N , 02374X PT , 02378W PT , 02672X PT , 02684K PT AT PALAWAN BEACH WALK (SOUTHERN ISLANDS PLANNING AREA)|201440768|14/03/2014|30|150000|0
E2393-88805-2013-BP01|METAL ROOF OVER APPROVED OUTDOOR REFRESHMENT AREA TO EXISTING EATING HOUSE ON LOT 01457K MK01 AT BLOCK 161 BUKIT MERAH CENTRAL #01-3749 SINGAPORE 150161|201440770|14/03/2014|67|138000|0
A1937-00037-2012-BP01|NEW ERECTION OF A 2-STOREY INTERMEDIATE TERRACE DWELLING HOUSEAT 32 JALAN LANJUT ON LOT 00649N  MK18 AT 32 JALAN LANJUT|201440771|16/03/2014|0|0|1
A1664-00001-2010-BP01|A & A TO EXTG PUBLIC HOUSING DEVELOPMENT BLKS 223 TO 230 WITH NEW LIFTS / LIFT LOBBIES (LUP) ON LOT(S) 06333V , 0875N , 09307W , 09308V , 09309P , 09310W , 09530L , 09531C , 09543X , 09544L , 09559C , 09560X , 09562C , 09563M , 09564W , 09570T , 09572K , 10280A , 10281K , 10282N , 10283X , 10284L , 10285C , 10286M , 10746W , 10781V , 10785K , 10791L , 10868P , 10870V , 10877L , 13925N , 13926X , 13928C , 14911A , 14913N , 14915L , 14917M , 14919V , 14921W , 14923P , 14925A , 99489W  & 99490C MK18 AT BLK 223 TO 230 SERANGOON AVENUE 4|201440772|16/03/2014|3206|10122393|0
A0934-00114-2011-BP01|RECONSTRUCTION OF AN EXISTING 2-STOREY SEMI-DETACHED DWELLING HOUSE TO A 3-STOREY SEMI-DETACHED DWELLING HOUSE WITH AN ATTIC ON LOT 98095V TS18 AT 97 KENG LEE ROAD|201440774|17/03/2014|431|1000000|1
E2393-00201-2013-BP01|ADDITIONS AND ALTERATIONS TO THE EXISTING 3-STOREY SEMI-DETACHEDDWELLING HOUSE WITH A BASEMENT INVOLVING ADDITION OF A SWIMMING POOL ON LOT(S) 09714K  MK27 AT 753 UPPER EAST COAST ROAD|201440776|17/03/2014|42|120000|1
E1734-01009-2010-BP01|RETENTION OF ADDITIONS & ALTERATIONS TO 1ST, 3RD & 4TH STOREY OF EXISTING 4-STOREY HOME FOR THE AGED ON LOT 04058N MUKIM 20 AT 205JALAN KAYU (SENGKANG PLANNING AREA)|201440775|17/03/2014|191|400000|0
E3294-00029-2013-BP01|ADDITIONS & ALTERATIONS TO THE EXISTING 2-STOREY DETACHED HOUSE ON LOT 99377A MK 17 AT 22 BERRIMA ROAD SINGAPORE 299899 (NOVENA PLANNING AREA)|201440778|17/03/2014|528|650000|1
A1924-00602-2012-BP01|ERECTION 2-STOREY SEMI-DETACHED DWELLING HOUSE WITH ATTIC ON LOT 01766W MK 17 AT 41 JALAN ASUHAN|201440782|17/03/2014|496|1000000|0
A0363-00229-2008-BP01|ERECTION OF A 2 STOREY DETACHED DWELLING HOUSE WITH A BASEMENT, ATTIC AND A SWIMMING POOL ON LOT 03334M MK02 AT 20 CLUNY HILL|201440783|17/03/2014|1892|7500000|1
A1860-01110-2012-BP01|ADDITIONS & ALTERATIONS TO 1ST , 2ND & 3RD STOREY OF EXISTING 9-STOREY HOTEL (CONCORDE HOTEL) INVOLVING FRONT FACADE UPGRADING & ADDITION OF 2 NEW ESCALATORS AT 1ST STOREY COVERED WALKWAY ON LOTS 00426P & 00403X TS19 AT 100 ORCHARD ROAD (ORCHARD PLANNING AREA)|201440784|17/03/2014|66|1288000|0
A1430-11561-2012-BP01|ADDITION & ALTERATION TO EXISTING DEVELOPMENT FOR HOUSING DEVELOPMENT BOARD AT 1ST STOREY VOID DECK TO NEW RESIDENT'S COMMITTEE CENTRE AT BLOCK 13 AT FARRER PARK ROAD (KALLANG PLANNING AREA) ON LOT(S) 02230A TS18|201440786|17/03/2014|0|148300|0
A1255-01264-2012-BP01|ADDITIONS & ALTERATIONS TO PART 4TH BASEMENT (FROM GRIDLINE X23 TO X24/ Y06 TO Y08) INVOLVING CONVERSION OF LABORATORIES TO A CLASS 100 CLEANROOM AND ADDITION OF A NEW BUNKER AT 5TH BASEMENT (FROM GRIDLINE X26 TO 27/ Y09 TO Y10) AT N1-B4A-15,16,1 ON LOTS 00173W, 00174V, 00175P, 00176T, 00177A, 00178K, 00179N, 00180A, 00181K, 00182N, 00183X, 00184L, 00185C & 00186M MK08, 00029L, 00384T, 00385A, 00392L, 01285K, 01286N, 01287X, 01288L & 01289C MK09 AT NANYANG TECHNOLOGICAL UNIVERSITY AT NANYANG AVENUE|201440781|17/03/2014|10|800000|0
A1430-91415-2012-BP01|EXTENSION TO RESIDENT'S COMMITTEE CENTRE ON LOT(S) 04979A MK05 AT 204 JURONG EAST STREET 21 SINGAPORE 600204|201440787|17/03/2014|0|30000|0
A0637-00021-2012-BP01|ADDITIONS & ALTERATIONS TO EXISTING PART 2 / PART 4-STOREY ASSOCIATION BUILDING WITH A BASEMENT ON LOTS 98636V  & 98638T  MK24 AT LORONG 29 GEYLANG|201440777|17/03/2014|0|0|0
A1430-71562-2012-BP01|ADDITION & ALTERATION TO EXISTING DEVELOPMENT AT 1ST STOREY VOID DECK OF EXTENSION TO RESIDENT'S COMMITTEE CENTRE AT BLOCK 50 ON LOT 02170M MK28 AT CHAI CHEE STREET|201440808|18/03/2014|0|143147|0
E2762-00166-2013-ST02|PROPOSED RETENTION OF EXISTING GT5 EXTREME FLYER ON LOTS 1T, 2A, 4N, 5X, 7C, 8M, 162M, 277L, 99992W, 99993V, 99994P, 99995T, 99996A,99997K, 9998N, & 99999X TS09 AT NORTH BOAT QUAY (SINGAPORE RIVER PLANNING AREA)|201440789|18/03/2014|0|0|0
E4004-00013-2013-ST01|PROPOSED STRENGTHENING WORK TO EXISTING BUILDING AT NO.1 ROCHDALE ROAD ON LOT(S) 00224L  MK23 AT 1 ROCHDALE ROAD SINGAPORE 535814|201440790|18/03/2014|0|0|0
E2444-00014-2013-BP01|ADDITION OF SINGLE STOREY MAINTENANCE BLOCK AND HOLDING AREA SHED TO THE EXISTING INDUSTRIAL DEVELOPMENT ON LOT 3353N MK 07 AT 21 TUAS VIEW CIRCUIT|201440791|18/03/2014|684|1500000|0
A1038-00004-2012-BP01|RECONSTRUCTION TO THE EXISTING 2-STOREY INTERMEDIATE TERRACE DWELLING HOUSE WITH AN ATTIC ON LOT 03276L MK 18 AT 26 JALAN PACHELI SINGAPORE 557376 (SERANGOON PLANNING AREA)|201440794|18/03/2014|366|610000|1
A0969-01117-2011-BP01|ERECTION OF A 3-STOREY SEMI-DETACHED DWELLING HOUSE WITH AN ATTIC, ROOF TERRACE & A SWIMMING POOL ON LOT(S) 2466M  MK27 AT 2 JALAN KUPANG|201440795|18/03/2014|492|1050000|0
A0697-00001-2012-BP01|ADDITIONS & ALTERATIONS TO EXISTING PUBLIC HOUSING DEVELOPMENT PRECINCT F CONSISTING OF BLOCK 326 WITH NEW LIFTS AT UBI AVENUE 1 (LIFT UPGRADING PROGRAMME) ON LOT 3125N MK23 AT 326 UBI AVENUE 1|201440796|18/03/2014|0|226152|0
E2648-00210-2012-BP01|ADDITIONS & ALTERATIONS AND CHANGE OF USE OF PART EXISTING 3-STOREY SINGLE USER INTERMEDIATE TERRACE FACTORY TO TEMPORARY ANCILLARY WORKERS' DORMITORY (39 WORKERS) ON LOT 02347A MK 20 AT 196 TAGORE LANE (ANG MO KIO PLANNING AREA)|201440798|18/03/2014|531|200000|0
E1998-01310-2013-BP01|WASTE WATER PRE-TREATMENT FACILITIES (WWPT) TO APPROVED ERECTION OF PETROCHEMICAL PLANT-JURONG AROMATICS COMPLEX ON LOT 02965K MK34 AT BANYAN AVENUE|201440801|18/03/2014|449|5000000|0
A1974-00026-2011-BP01|NEW ERECTION OF COVERED LINKWAY FROM BLOCK 907 TO BLOCK 908 ON LOT 00446X MK09 AT JURONG WEST STREET 91 (JURONG WEST PLANNING AREA)|201440802|18/03/2014|0|0|0
E2444-00033-2009-BP01|ADDITION OF A SOLVENT RECOVERY EQUIPMENT TO THE EXISTING SLUDGE TREATMENT & DISPOSAL PLANT INDUSTRIAL DEVELOPMENT ON LOT 3353N MK 07 AT 21 TUAS VIEW CIRCUIT|201440804|18/03/2014|85|100000|0
E2511-00828-2012-BP01|ADDITIONS AND ALTERATIONS TO AN EXISTING F&B UNIT #01-17/18 ON LOT 01087L AND 01089M MK29 AT 10 TAMPINES CENTRAL 1, TAMPINES 1, SINGAPORE 529536|201440806|18/03/2014|84|150000|0
A0708-00002-2011-BP01|AMENDMENT TO APPROVED RECONSTRUCTION OF AN EXISTING 2-STOREY SEMI-DETACHED DWELLING HOUSE WITH ADDITION OF A NEW ATTIC ON LOT(S) 3514M  MK18 AT 5 JALAN LEBAT DAUN|201440803|18/03/2014|310|7500000|1
E2290-80543-2012-BP01|OUTDOOR REFRESHMENT AREA (ORA) TO EXISTING COFFEESHOP AT BLOCK 501 JURONG WEST STREET 51 #01-251|201440809|18/03/2014|114|15000|0
A1185-00319-2011-BP01|ERECTION OF A 3-STOREY SEMI-DETACHED DWELLING HOUSE WITH A RC FLAT ROOF TERRACE ON LOT 05389V MK 26 AT 19 JALAN WAKAFF|201440797|18/03/2014|471|1589000|1
A0644-00091-2011-BP01|ERECTION OF A BLOCK OF 8-STOREY MULTIPLE-USER LIGHT INDUSTRIAL RAMP-UP FACTORY COMPRISING 154 FACTORY UNITS AND 11 FACTORY UNITS WITH MEZZANINE FLOOR (TOTAL 165 FACTORY UNITS) ON LOT(S) 05592W  MK13 AT ADMIRALTY STREET|201440810|18/03/2014|52711|42000000|0
A1751-00001-2012-BP01|RECONSTRUCTION OF AN EXISTING SINGLE STOREY INTERMEDIATE TERRACE DWELLING TO 2-STOREY INTERMEDIATE TERRACE HOUSE WITH ATTIC ON LOT 98001X MK27 AT 10 DAFNE STREET|201440811|18/03/2014|0|0|1
E3062-00091-2009-ST01|PROPOSED ERECTION OF AN ADVERTISEMENT SINGBOARD ON LOT 2013 & 1995 MK 1 AT 239 ALEXANDRA ROAD|201440813|18/03/2014|0|0|0
E2620-00011-2007-BP01|ADDITION OF A NEW PAINT STORAGE SHED TO EXISTING PETROCHEMICAL COMPLEX AT 100 AYER MERBAU ROAD ON LOT(S) 340L , 341C , 367L , 368L , 402V , 403P , 404T , 405A , 406K , 407N , 408X , 409L , 669W , 673W  & 779X  MK34 AT 100 AYER MERBAU ROAD SINGAPORE 628277|201440814|18/03/2014|31|60000|0
A0449-00352-2010-BP01|ADDITIONS/ALTERATIONS TO THE EXISTING 2-STOREY CONSERVED TERRACE DWELLING HOUSE WITH PROVISION OF AN ATTIC & A ROOF TERRACE AND CHANGE OF USE OF 1ST-STOREY RESIDENTIAL TO INSTITUTION HALL CUM OFFICE ON LOT(S) 096971N  MK24 AT 2 LORONG 11 GEYLANG SINGAPORE 388694|201440815|19/03/2014|362|350000|0
E2416-00016-2010-ST01|CONTRACT RP 137 - EMAS ON MAJOR ARTERIAL ROADS - TYPE 1 AVMS AT PASIR PANJANG ROAD AT PASIR PANJANG ROAD|201440816|19/03/2014|0|0|0
E4297-00036-2013-BP01|CONVERSION OF PART OF EXISTING 1ST STOREY VOID DECK TO SATELITE FIRE POST AT MK 13 LOT 03636X BLK 338 SEMBAWANG CRESCENT SINGAPORE 750338 ON LOT 03636X  MK13 AT 338 SEMBAWANG CRESCENT|201440821|19/03/2014|128|300000|0
A1502-00004-2006-BP01|CCL STATION & ADDITIONS AND ALTERATIONS TO THE EXISTING NORTH SOUTH LINE (MARINA BAY STATION) ON LOT 275N PT(SL) AND 80000 TS 30 AT 23 MARINA STATION ROAD|201440823|19/03/2014|0|0|0
A0784-01140-2011-BP01|ADDITIONS & ALTERATIONS TO EXISTING 3-STOREY SINGLE-USER VEHICLE WORKSHOP WITH ANCILLARY FACILITIES (BUKIT MERAH PLANNING AREA) ON LOT 01505C MK 01 AT 31/33 LENG KEE ROAD|201440825|19/03/2014|1436|9555246|0
E3098-00015-2012-BP01|SINGLE STOREY TEMPORARY HOLDING BUILDING AT CARPARK D NANYANG TECHNOLOGICAL UNIVERSITY ON MK08 ON LOTS 00173W, 00174V, 00175P, 00176T, 00177A, 0178K, 00179N, 00180A, 00181K, 00182N, 00183X, 00184L, 00185C, 00186M, MK09 ON LOTS 00029L, 00384T, 00385A, 00392L, 01285K, 01286N, 01287X, 01288L &, 01289C  AT NANYANG DRIVE|201440827|19/03/2014|550|1060598|0
A1757-00502-2013-BP01|ADDITIONS & ALTERATIONS TO THE EXISTING 3-STOREY SEMI-DETACHED DWELLING HOUSE WITH AN ATTIC ON LOT 03320M  MK 27 AT 24 LUCKY HEIGHTS|201440828|20/03/2014|698|587000|0
A1247-00818-2013-BP01|ADDITION AND ALTERATION TO EXISTING TWO-STOREY DETACHED DWELLING HOUSE WITH NEW SWIMMING POOL ON LOT 00737C MUKIM 29 AT NO.45 PASIR RIS AVENUE|201440829|20/03/2014|103|500000|0
E3890-00910-2012-BP01|ADDITIONS AND ALTERATIONS TO THE EXISTING 2-STOREY INTERMEDIATE TERRACE DWELLING HOUSE WITH NEW ATTIC ON LOT 93817K MK 26 AT 22 BURNFOOT TERRACE|201440830|20/03/2014|144|275000|0
E2620-00208-2013-BP01|EXTENSION OF EXISTING WAREHOUSE LOADING BAY WITHIN EXISTING FATTY ACID DERIVATIVES PLANT ON LOTS 2315M & 1622X (PLOT A1590100, A19156 & A19156A) MK 34 JURONG ISLAND AT 1 MERLIMAU PLACE|201440834|20/03/2014|6|30000|0
A1430-11562-2012-BP01|ADDITIONS AND ALTERATIONS TO EXISTING DEVELOPMENT AT 1ST STOREY VOID DECK OF EXTENSION TO RESIDENT'S COMMITTEE CENTRE ON LOT 10213A MK27 AT 32 CHAI CHEE AVENUE|201440835|20/03/2014|0|145547|0
A1430-21415-2012-BP01|ADDITION & ALTERATION TO EXISTING DEVELOPMENT AT 1ST STOREY VOID DECK OF EXTENSION TO RESIDENT'S COMMITTEE CENTRE ON LOT 07090T  MK18 AT 212 ANG MO KIO AVENUE 3|201440836|20/03/2014|0|148300|0
E2511-00302-2013-BP01|ADDITION OF A NEW EXHAUST SHAFT AT 1ST STOREY PLAZA OF THE EXISTING UNITED SQUARE BUILDING AT 101 THOMSON ROAD #01-00 UNITED SQUARE|201440839|20/03/2014|0|0|0
E3795-00044-2007-BP01|ADDITIONS AND ALTREATIONS TO EXISTING SINGLE STOREY FACTORY WITH NEW STORAGE SHED ON LOT 00448X MK 07 AT 14 GUL STREET 3|201440840|20/03/2014|843|50000|0
A1621-00003-2013-BP01|ADDITIONS AND ALTERATIONS WORKS INVOLVING INTERNAL STAIRCASE AT 13TH TO 15TH STOREY TO THE EXISTING 30-STOREY OFFICE BUILDING ON LOT 00579A TS01 AT 30 CECIL STREET|201440841|20/03/2014|0|0|0
E2118-01570-2013-BP01|SHELTER TO OUTDOOR REFRESHMENT AREA (ORA) OF EXISTING EATING HOUSE ON LOT 00957T, MK 01 AT BLOCK 116 BUKIT MERAH VIEW (UNIT #01-253)|201440842|20/03/2014|124|120000|0
E2834-00023-2012-BP01|A&A TO ANG MO KIO-THYE HUA KWAN HOSPITAL CONSISTING OF NEW STAIRCASES, NEW PATIENT DROP-OFF POINT AND MISCELLANEOUS FIRE SAFETY UPGRADING WORKS ON LOT 13293L  MK18 AT 17 ANG MO KIO AVENUE 9|201440845|20/03/2014|310|3455000|0
E3098-00014-2012-BP01|SINGLE STOREY TEMPORARY HOLDING BUILDING AT CARPARK E NANYANG TECHNOLOGICAL UNIVERSITY ON MK08 ON LOTS 00173W, 00174V, 00175P, 00176T, 00177A, 00178K, 00179N, 00180A, 00181K, 00182N, 00183X, 00184L, 00185C, 00186M, MK 09 ON LOTS 00029L, 00384T, 00385A, 00392L, 01285K, 01286N, 01287X, 01288L & 01289C AT NANYANG DRIVE|201440846|20/03/2014|0|0|0
E2986-00979-2011-BP01|ADDITIONS AND ALTERATIONS INCLUDING THE ADDITION OF A CARPARK SHED TO THE EXISTING PART 2-STOREY, PART 4-STOREY FACTORY ON LOT 1827T (PLOT A1307500) MK 31 AT 32 LOYANG CRESCENT|201440850|20/03/2014|75|15000|0
E2537-00003-2013-BP01|ADDITIONS AND ALTERATIONS TO THE EXISTING 2-STOREY SEMI-DETACHED DWELLING HOUSE ON LOT 00175T MK16 AT 19 JALAN TUMPU|201440851|20/03/2014|81|200000|0
E3687-00402-2012-BP01|ADDITION OF A COVERED LINKWAY FROM EXISTING HDB BLOCK 288G TO 288E TO 289G ON LOT 08450M MK 05 AT BUKIT BATOK STREET 25|201440852|20/03/2014|294|205902|0
A1956-80032-2010-BP01|ERECTION OF A 2-STOREY DETACHED DWELLING HOUSE WITH AN ATTIC AND A SWIMMING POOL ON LOT 05540V MK18 AT 110 SARACA ROAD SINGAPORE 807408 (SERANGOON PLANNING AREA)|201440785|20/03/2014|835|1900000|1
A1224-00002-2013-BP01|ADDITIONS & ALTERATIONS INVOLVING ERECTION OF A NEW CANOPY AT 1ST STOREY OF TOWER A OF EXISTING KHOO TECK PUAT HOSPITAL ON LOT 03647M & 03645L PT MK 19 AT 90 YISHUN CENTRAL|201440856|20/03/2014|89|370800|0
A1618-15302-2012-BP01|ADDITIONS & ALTERATION WORKS TO EXISTING STUDY AREA AT TEACHING BLOCK 15 WITH ADDITIONAL CANOPY AND TRELLIS AT 2ND STOREY AND ADDITIONAL STAIRCASE AT 1ST AND 2ND STOREY OF SINGAPORE POLYTECHNIC. ON LOTS 1797A , 2266N , 3049M  & 3438V  MK03 AT 500 DOVER ROAD|201440858|20/03/2014|22|549350|0
A0934-00127-2012-BP01|ADDITIONS & ALTERATIONS TO THE EXISTING 2-STOREY SEMI-DETACHED DWELLING HOUSE ON LOT 02798A MK 04 AT 126 NAMLY AVENUE|201440859|21/03/2014|164|750000|1
E2699-00020-2009-BP01|ADDITION & ALTERATION WORKS TO EXISTING SINGLE-USER FACTORY (ADDITION OF MEZZANINE) ON LOT 2346 MK 11 AT 72 SUNGEI KADUT LOOP|201440860|21/03/2014|533|350000|0
A1937-00019-2012-BP01|ERECTION OF A 3-STOREY SEMI-DETACHED DWELLING HOUSE WITH AN ATTIC AT 72 JALAN LAPANG ON LOTS 03493K & 03494N MK 28 AT 72 JALAN LAPANG|201440865|21/03/2014|569|850000|1
A1974-00032-2011-BP01|ERECTION OF COVERED LINKWAY BETWEEN BLOCK 284 AND BLOCK 286 ON LOTS 01067K AND 01248L MK11 AT CHOA CHU KANG AVENUE 3|201440864|21/03/2014|0|0|0
E2416-00013-2011-ST01|CONTRACT RP 137 - EMAS ON MAJOR ARTERIAL ROADS - TYPE 1 AVMS ALONG UPPER THOMSON ROAD AT UPPER THOMSON ROAD|201440866|21/03/2014|0|0|0
A1073-00006-2010-BP01|ERECTION OF A 2-STOREY ANCILLARY BUILDING EXTENSION AND ALTERATIONS & ADDITIONS TO EXISTING ST JOSEPH CHURCH ON LOTS 02040C PT, 02277C, 02278M & 02291N PT MK16 AT 620 UPPER BUKIT TIMAH ROAD|201440868|21/03/2014|778|4000000|0
E1436-00824-2013-BP01|ADDITIONS AND ALTERATIONS TO EXISTING DETACHED FACTORY ON LOT 03241W MK 07 AT NO 20 TUAS WEST AVENUE.|201440870|21/03/2014|0|0|1
E2699-00012-2012-BP01|ERECTION OF A 2-STOREY INTERMEDIATE TERRACE DWELLING HOUSE WITH AN ATTIC ON LOT 1724A MK18 AT 32 JALAN CHENGAM|201440871|21/03/2014|301|594250|1
A0720-00233-2010-BP01|ERECTION OF A 2-STOREY DETACHED DWELLING HOUSE WITH AN ATTIC AND A SWIMMING POOL ON LOT 97149N MK17 AT 16 MELROSE DRIVE|201440874|21/03/2014|1098|1500000|1
A0969-01109-2011-BP01|ERECTION OF A 3-STOREY INTERMEDIATE TERRACE DWELLING HOUSE WITH AN ATTIC AND ROOF TERRACE ON LOT(S) 03667A  MK28 AT 10 HARVEY CRESCENT|201440877|21/03/2014|527|1170000|1
A0969-01203-2012-BP01|ERECTION OF A 3-STOREY SEMI-DETACHED DWELLING HOUSE WITH AN ATTIC, ROOF TERRACE & A SWIMMING POOL ON LOT(S) 01712C MK28 AT 3 JALAN KUANG|201440878|21/03/2014|758|1370000|1
E3062-00131-2013-ST01|PROPOSED ERECTION OF1 NO OF FACADE SIGNBOARD " CACHE LOGOSTICS TRUST" AT NO. 49 PANDAN ROAD SINGAPORE AT 49 PANDAN ROAD SINGAPORE 609290|201440879|22/03/2014|0|0|0
E3062-00128-2012-ST01|PROPOSED ERECTION OF 2 ADVERTISEMENT SIGNBOARDS TO REPLACE EXISTING SIGNBOARDS AT 23 LENG KEE ROAD ON LOT(S) 0299M  MK01 AT 23 LENG KEE ROAD SINGAPORE 159095|201440885|24/03/2014|0|0|1
E3060-01016-2013-BP01|CONVERSION OF PART EXISTING 1ST STOREY VOID DECK TO SATELLITE FIRE POST ON LOT 04063K MK03 AT BLK 4 DOVER ROAD SINGAPORE 130004|201440886|24/03/2014|0|0|0
E3539-00211-2008-ST01|PROPOSED SIGNAGE FOR AUTOBACS VENTURE SINGAPORE PTE LTD AT 10 UBI VIEW, SINGAPORE 408543 ON LOT(S) 06129A  MK23 AT UBI VIEW|201440887|24/03/2014|0|0|0
E3062-00124-2012-ST01|PROPOSED ERECTION OF AN ADVERTISEMENT SIGNBOARD ON LOT1935PT MK 01 AT 253 ALEXANDRA ROAD|201440888|24/03/2014|0|0|0
E4309-00004-2013-BP01|RETENTION OF THE EXISTING SINGLE STOREY SHELTER AT NERAM CRESCENT PLAYGROUND ON LOT(S) 06018V  MK18|201440889|24/03/2014|36|0|0
E4385-00005-2012-BP01|ERECTION OF A 2-STOREY SUBSTATION ON MK 20 LOT 04680V (PT) AT FORMER SELETAR WATER RECLAMATION PLANT, SELETAR AEROSPACE CRESCENT, SINGAPORE ON LOT(S) 04680V  MK20|201440890|24/03/2014|77|530000|0
E2118-00570-2010-BP01|ADDITIONS & ALTERATIONS TO THE EXISTING 3-STOREY SEMI-DETACHED DWELLING HOUSE WITH ROOF TERRACE ON LOT 017222K MK 18 AT 4 MIMOSA ROAD|201440891|24/03/2014|12|100000|0
A1430-61562-2012-BP01|EXTENSION TO RESIDENT'S COMMITTEE CENTRE ON LOT 05973A MK27 AT 61 CHAI CHEE ROAD|201440892|24/03/2014|0|0|0
A1533-00012-2011-BP01|ERECTION OF A 2-STOREY INTERMEDIATE TERRACE DWELLING HOUSE WITH AN ATTIC ON LOT 00765P MK18 AT 55 JALAN MENARONG|201440893|24/03/2014|380|550000|1
A1123-00001-2010-BP01|ADDITIONS & ALTERATIONS (REMODELLING) TO EXISTING BASEMENT, LEVEL 1, 2, 3 & 4, MAIN BUILDING AT NATIONAL UNIVERSITY HOSPITAL ON LOTS 04339T, 04340V, 04341P & 04342T MK03 AT 5 LOWER KENT RIDGE ROAD|201440894|24/03/2014|2552|43000000|0
A1613-01369-2013-BP01|ADDITIONS & ALTERATIONS TO EXISTING PART 1ST STOREY VOID DECK TO CHILD CARE CENTRE EXTENSION ON LOT(S) 03679K  MK06 AT BLOCK 658D JURONG WEST STREET 65|201440895|25/03/2014|0|209998|0
A1045-00014-2010-BP01|ADDITION OF COVERED LINKWAY FROM EXISTING COVERED LINKWAY AT BLOCK 450 TO BLOCK 450C ON LOT(S) 1450X  & 2661X  MK31 AT   TAMPINES STREET 42|201440896|25/03/2014|100|75190|0
E4413-00114-2013-ST01|PROPOSED OVERHEAD CRANE (SWL = 100KG) STRUCTURE FOR EXISTING SINGLE STOREY SEMI-DETACHED FACTORY ON LOT 502T MK 7 AT 28 & 30 GUL AVENUE|201440898|25/03/2014|0|0|0
E0268-00010-2013-ST01|PROPOSED TO REPLACE 5 EXISTING METAL GRILL WINDOWS BY TEMPERED GLASS PANELS  AT BLOCK 632 UNIT #12-215  AT CHOA CHU KANG NORTH 6 ON LOT 01979C MK 11|201440899|25/03/2014|0|0|0
E2997-00111-2013-ST02|PROPOSED ADDITIONS AND ALTERATIONS TO EXISTING WORKSHOP ON LOTS 03873A, MK13 AT 21 DEPTFORD ROAD (SEMBAWANG PLANNING AREA)|201440901|25/03/2014|0|0|0
E3126-00954-2012-BP01|ADDITIONS AND ALTERATIONS TO THE EXISTING 2-STOREY SEMI-DETACHED DWELLING HOUSE WITH AN ATTIC ON LOT 04783N  MK 25 AT 57P CRESCENT ROAD SINGAPORE 439349|201440902|25/03/2014|94|550000|1
E2393-80012-2013-BP01|RETENTION OF SINGLE STOREY BUILDING AT NTUC DOWNTOWN EAST ON LOTS 02743T & 02744A MK31 AT 1 PASIR RIS CLOSE|201440904|25/03/2014|58|90000|0
E0700-00095-2012-BP01|ADDITIONS & ALTERATION TO THE EXISTING 2-STOREY SEMI-DETACHED DWELLING HOUSE ON LOT 05245C MK 05 AT 120D LORONG KISMIS|201440905|25/03/2014|54|200000|0
E2416-00015-2010-ST01|CONTRACT RP 137 - EMAS ON MAJOR ARTERIAL ROADS - TYPE 1 AVMS AT WOODLANDS ROAD AT WOODLANDS ROAD|201440907|25/03/2014|0|0|0
E3062-00129-2012-ST01|PROPOSED ERECTION OF A STAND ALONE ADVERTISEMENT SIGNBOARD (ROLLS ROYCE) AT 29 LENG KEE ROAD ON LOT(S) 98450N  MK01 AT 29 LENG KEE ROAD SINGAPORE 159099|201440906|25/03/2014|0|0|0
E2662-00008-2013-ST01|PROPOSED ADDITIONS & ALTERATION WORKS CONSISTING ERECTION OF SUPPORTING SYSTEM FOR 1 NUMBER OF INDOOR OVERHEAD TRAVELLING CRANE (3.2T CAPACITY) TO EXISTING MULTIPLE-USER TERRACE FACTORY UNIT NO.108 ON LOTS 3610M AND 3920L MK 07 AT TUAS SOUTH AVENUE 2|201440913|25/03/2014|0|0|0
A1754-00007-2008-BP01|ADDITIONS & ALTERATIONS TO EXISTING PUBLIC HOUSING DEVELOPMENT BLOCKS 72 TO 79 AND NEW ERECTION OF ONE BLOCK OF ESS  AT MARINE DRIVE (HIP) ON LOTS 4977C, 4978M, 4980C, 4981M, 4982W, 4999T, 5000W, 5001V, 8703C PT & 9463T PT MK26|201440915|25/03/2014|254|13285215|0
E2620-00147-2012-ST01|PROPOSED ADDITIONS & ALTERATIONS TO THE EXISTING SINGAPORE MANUFACTURING PLANT (PHASE 7 COMPRISING TANKAGES) FOR CHEVRON ORONITE PTE LTD, SINGAPORE EXPANSION PROJECT ON LOT(S) 1078W  & 1706K  MK34 AT 21 SAKRA ROAD SINGAPORE 627890|201440909|25/03/2014|0|0|0
