PROJECT REFERENCE NUMBER|TITLE|LOCALITY|ARCHITECT|ENGINEER|DATE APPROVED
A0647-00321-2012-BP02|AMENDMENT TO APPROVED ADDITIONS & ALTERATIONS TO EXISTING 9 STOREY INSTITUTIONAL OFFICE BUILDING ON LOT 02713L MK 03 AT 10 DOVER DRIVE.|ON LOT(S) 02713L  MK03 AT 10 DOVER DRIVE|MR SEAH SENG NGUAN, JOHN AGA ARCHITECTS PTE LTD|Mr KOH ENG KOON CME ENGINEERING PTE LTD,Mr Lee Seng Koon Surbana International Consultants Pte Ltd|25/02/2014
A0562-01401-2014-BP01|PROPOSED ERECTION OF 2 UNITS OF 2-STOREY DETACHED DWELLING HOUSESEACH WITH AN ATTIC AND SWIMMING POOL ON LOT 00569L MK 21 AT PONGGOLTWENTY-FOURTH AVENUE (PONGGOL PLANNING AREA)|ON LOT(S) 00569L  MK21 AT PONGGOL TWENTY-FOURTH AVENUE|MR HUAY KWOK MENG H.U.A.Y ARCHITECTS|ER LIM KENG CHUA RICHARD K C LIM & PARTNERS|27/02/2015
A0567-01308-2013-BP01|PROPOSED ADDITIONS AND ALTERATIONS INVOLVING ANCILLARY WORKS IN TANDEM WITH NEIGHBOURHOOD RENEWAL PROGRAMME (NRP) BATCH 1 TO EXISTING PUBLIC HOUSING BLOCK NO 902 TO 903, 906 TO 916 AND 921 TO 922 AND 924 TO 946 AT TAMPINES AVE 4, 5 AND STREET 91 ON LOT(S) 02811T , 02812A , 02813K , 02814N , 02829X , 02830K , 02831N , 02832X , 02883M , 02884W , 02885V , 02915A , 02917N , 02994A , 02995K , 02996N , 02997X , 03000N , 03001X , 03002L , 03003C , 03004M , 03007P , 03008T , 03139W , 03140C , 03141M , 04894T , 06047P , 06124A , 06407N  & 06408X  MK28 AT TAMPINES AVENUE 4,  TAMPINES AVENUE 5,  TAMPINES STREET 91|ON LOT(S) 02811T , 02812A , 02813K , 02814N , 02829X , 02830K , 02831N , 02832X , 02883M , 02884W , 02885V , 02915A , 02917N , 02994A , 02995K , 02996N , 02997X , 03000N , 03001X , 03002L , 03003C , 03004M , 03007P , 03008T , 03139W , 03140C , 03141M , 04894T , 06047P , 06124A , 06407N  & 06408X  MK28 AT TAMPINES AVENUE 4,  TAMPINES AVENUE 5,  TAMPINES STREET 91|MR LOKE KWONG YOON TEAM DESIGN ARCHITECTS PTE LTD|Mr Gwee Siong Mong Ronnie & Koh Consultants Pte Ltd|19/02/2014
A0562-01217-2012-BP01|RETENTION OF WORKS AND PROPOSED ADDITIONS & ALTERATIONS TO THE EXISTING 3-STOREY SEMI-DETACHED DWELLING HOUSE ON LOT 04508L MK 10 AT 6A GALISTAN AVENUE|ON LOT(S) 04508L	  MK10 AT 6A  GALISTAN AVENUE|MR CHUA SEE HOE CSH CHARTERED ARCHITECTS|ER CHAN TUCK CHEONG T C SIN & ASSOCIATES|06/02/2015
A0539-00054-2008-BP04|PROPOSED REDEVELOPMENT OF EXISTING CONDOMINIUM TO A NEW CONDOMINIUM DEVELOPMENT, COMPRISING 1 BLOCK OF 5 UNITS OF 2 STOREY STRATA LANDED HOUSING WITH AN ATTIC & BASEMENT AND 1 BLOCK OF 12 UNITS OF 5 STOREY BUILDING WITH AN ATTIC & A BASEMENT CARPARK, SWIM AT 43 OXLEY ROAD|AT 43 OXLEY ROAD|MR TAN HUA JIN, MELVIN LAUD ARCHITECTS PTE LTD|ER LEE TUCK CHEONG BECA CARTER HOLLINGS & FERNER(S.E. ASIA) PTE LTD,ER GARY NG WEE GIAP GNG CONSULTING ENGINEERS,ER Chong Yit Wah KP Chai Engrg & Mgt Consultants,ER LIM KEAN TEONG TNJ CONSULTANTS LLP|11/02/2015
A0537-00277-2013-BP02|PROPOSED ERECTION OF A 3-STOREY FAMILY ENTERTAINMENT CENTRE WITH TWO ANCILLARY M&E SERVICES BLOCKS ON LOTS 00589N PT, 02375L PT, 02423V PT, 02426A PT, 02430K PT, 02672X PT, 02683A PT, 02996K PT, 02998X PT MK34 AT BEACH VIEW, SENTOSA (SOUTHERN ISLANDS PLAN|ON LOT(S) 00589N , 02375L , 02423V , 02426A , 02430K , 02672X , 02683A , 02996K  & 02998X  MK34 AT BEACH VIEW - SENTOSA|MR GOH PENG THONG AWP PTE LTD|ER HO KOK KOH BUILDING ENGINEERING CONSULTANTS,ER LIAU WAI KUN KEON CONSULT PTE LTD,ER FOONG KIT KUEN KTP Consultants Pte Ltd|04/02/2015
A0539-00077-2010-BP04|PROPOSED CONDOMINIUM HOUSING DEVELOPMENT COMPRISING 6 BLOCKS OF 12 STOREY RESIDENTIAL BUILDING (TOTAL: 301 UNITS) WITH 6 LEVEL MULTI STOREY CARPARK AND COMMUNAL FACILITIES ON LOT(S) 07129X  MK28 AT SIMEI STREET 3|ON LOT(S) 07129X  MK28 AT SIMEI STREET 3|MR LAU TSE KIT LAUD ARCHITECTS PTE LTD|Mr SONG WEE NGEE KTP CONSULTANTS PTE LTD,ER CHEONG KUAN LEONG K L CHEONG & ASSOCIATES,Mr NG CHENG KIAT NCK ASSOCIATES,Mr LAU TUNG NGIU DPC CONSULTING ENGINEERS,Mr CHEN GUANGMING CGM ENGINEERING CONSULTANTS|26/02/2014
A0535-01705-2014-BP01|PROPOSED CONSTRUCTION OF COVERED LINKWAY FROM BLK 51 TO 66 TELOK BLANGAH DRIVE ON LOT(S) 03580V  MK01|ON LOT(S) 03580V  MK01|MR HUANG JIA YEU JYHA LLP|ER LENG KWEK MIN LENG CONSULTANTS|04/02/2015
A0535-01734-2014-BP01|PROPOSED CONSTRUCTION OF ROOF CANOPY AT BLK 542A SERAGOON NORTH AVENUE 4 ON LOT 13684V MK 18|ON LOT(S) 13684V  MK18 AT 542A SERANGOON NORTH AVENUE 4|MR HUANG JIA YEU JYHA LLP|ER CHU YAT SUN CHONG & LEE CONSULTANTS|25/02/2015
A0537-00252-2012-BP01|PROPOSED FITTING OUT OF BSL-3/ABSL-3 LABORATORY FACILITIES AT LEVEL 15 OF THE EXISTING BLOCK MD6 FOR YONG LOO LIN SCHOOL OF MEDICINE WITHIN NATIONAL UNIVERSITY OF SINGAPORE ON LOT 4343A MK 03 AT 10 KENT RIDGE CRESCENT|ON LOT(S) 4343A  MK03 AT 10 KENT RIDGE CRESCENT|MR GOH PENG THONG AWP PTE LTD|Mr NG YEW SHIN T Y LIN INTERNATIONAL PTE LTD|20/02/2014
A0535-01675-2013-BP01|PROPOSED CONSTRUCTION OF HIGH & LOW LINKWAY BETWEEN BLOCK 307D AND BLOCK 309B  ON LOT(S) 16874A  MK18 AT ANG MO KIO AVENUE 1|ON LOT(S) 16874A  MK18 AT ANG MO KIO AVENUE 1|MR HUANG JIA YEU JYHA LLP|ER TIONG HOO TUONG CITY-TECH ASSOCIATES|04/02/2015
A0506-00081-2012-BP01|PROPOSED LANDED HOUSING DEVELOPMENT COMPRISING 28 UNITS OF 3-STOREY TERRACE DWELLING HOUSES AND 4 UNITS OF 3-STOREY SEMI-DETACHED DWELLING HOUSES (TOTAL 32 UNITS, PHASE 9)  ON LOT(S) 17171C  MK18 AT SELETAR ROAD,  YIO CHU KANG ROAD,  ANG MO KIO AVENUE 5|ON LOT(S) 17171C  MK18 AT SELETAR ROAD,  YIO CHU KANG ROAD,  ANG MO KIO AVENUE 5|MR LEE KUT CHEUNG RSP ARCHITECTS PLANNERS & ENGINEERS (PTE) LTD|ER LAI HUEN POH RSP ARCHITECTS PLANNERS & ENGINEERS (PTE) LTD|11/02/2014
A0506-00138-2013-BP01|PROPOSED REPLACEMENT OF FIXED GANGWAYS AND ADDITION & ALTERATION WORKS ON LOT 04592N PT MK 31 AT TERMINAL 1 SINGAPORE CHANGI AIRPORT AT 80 AIRPORT BOULEVARD|ON LOT(S) 04592N  MK31 AT 80 AIRPORT BOULEVARD|MR LEE KUT CHEUNG RSP ARCHITECTS PLANNERS & ENGINEERS (PTE) LTD|ER KOH ENG KOON CME ENGINEERING PTE LTD,ER LAI HUEN POH RSP ARCHITECTS PLANNERS & ENGINEERS (PTE) LTD,ER GARY NG WEE GIAP GNG CONSULTING ENGINEERS,ER SAM CHANG LOUNG FONG CONSULT PTE LTD,ER KEE CHING GUAN CIVIL AND GEOTECHNICAL ASSOCIATES|24/02/2015
A0512-00212-2013-BP01|PROPOSED 3 NO. OF COVERED LINKWAYS FROM BLOCK 436 TO 459, BLOCK 438 TO 452 TO NORTHBROOKS SECONDARY SCHOOL AND BLOCK 445 TO 449 TO BUS SHELTER AT YISHUN AVENUE 11 ON LOT(S) 3076A , 3117A , 3118K , 3119N  & 3233W  MK19 AT YISHUN AVENUE 11|ON LOT(S) 3076A , 3117A , 3118K , 3119N  & 3233W  MK19 AT YISHUN AVENUE 11|MRS LIM-TAN SUAT HUA S H LIM ARCHITECTS PTE LTD|TAN BIN KEONG B K TAN CONSULTANTS|27/02/2014
A0506-00047-2010-BP03|PROPOSED LANDED HOUSING DEVELOPMENT COMPRISING 28 UNITS OF 3-STOREY TERRACE DWELLING HOUSES, 4 UNITS OF 3-STOREY SEMI-DETACHED DWELLING HOUSES (TOTAL 32 UNITS, PHASE 7) ON LOT(S) 251N , 3310 , 5353  & 9425C  MK18 AT ANG MO KIO AVENUE 5|ON LOT(S) 251N , 3310 , 5353  & 9425C  MK18 AT ANG MO KIO AVENUE 5|MR LEE KUT CHEUNG RSP ARCHITECTS PLANNERS & ENGINEERS (PTE) LTD|ER LIM CHIN PAU C P LIM & PARTNERS,ER LAI HUEN POH RSP ARCHITECTS PLANNERS & ENGINEERS (PTE) LTD, LAU TUNG NGIU DPC CONSULTING ENGINEERS,ER M SIVAKUMARAN SMS CONSULTING ENGINEERS,ER NAGARAJAH SENTHILRAJAN SYNERGY CONSULTING ENGINEERS|09/02/2015
A0506-00040-2012-BP03|PROPOSED ERECTION OF 2 BLOCKS OF 8-STOREY AND 4 BLOCKS OF 7-STOREY STUDENT HOSTEL DEVELOPMENT WITH CARPARK AND ANCILLARY FACILITIES ON LOTS 00173W, 00174V, 00175P, 00176T, 00177A, 00178K, 00179N, 00180A, 00181K, 00182N, 00183X, 00184L, 00185C & 00186M MK|ON LOT(S) 00173W , 00174V , 00175P , 00176T , 00177A , 00178K , 00179N , 00180A , 00181K , 00182N , 00183X , 00184L , 00185C  & 00186M  MK08, 00029L , 00384T , 00385A , 00392L , 01285K , 01286N , 01287X , 01288L  & 01289C  MK09|MR LEE KUT CHEUNG RSP ARCHITECTS PLANNERS & ENGINEERS (PTE) LTD|ER YEO CHOON CHONG MEINHARDT (SINGAPORE) PTE LTD,ER GARY NG WEE GIAP GNG CONSULTING ENGINEERS,ER KANG JIANHAN KCL CONSULTANTS PTE LTD|12/02/2015
A0506-00027-2008-BP03|PROPOSED ADDITIONS AND ALTERATIONS TO THE EXISTING TAMPINES MALL ON LOT 1460L MK 29 AT TAMPINES CENTRAL 5 / TAMPINES AVENUE 4|ON LOT(S) 1460L  MK29|MR LEE KUT CHEUNG RSP ARCHITECTS PLANNERS & ENGINEERS (PTE) LTD|ER LAI HUEN POH RSP ARCHITECTS PLANNERS & ENGINEERS (PTE) LTD,ER LIAU WAI KUN KEON CONSULT PTE LTD, LEE YEE SENG CSTECH CONSULTANTS & ENGRG PTE LTD|09/02/2015
A0506-00023-2013-BP01|PROPOSED ADDITION OF 3-STOREY ASIA PILOT PLANT TO EXISTING SINGLE USER NUTRITIONAL MANUFACTURING PLANT ON LOT 03857N (PLOT A2176500), MK 7 AT 26 TUAS SOUTH AVENUE 10|ON LOT(S) 03857N  MK07 AT 26 TUAS SOUTH AVENUE 10|MR LEE KUT CHEUNG RSP ARCHITECTS PLANNERS & ENGINEERS (PTE) LTD|ER LAI HUEN POH RSP ARCHITECTS PLANNERS & ENGINEERS (PTE) LTD,Mr LIEW YOON HSIEN YH LIEW CONSULTING ENGINEERS|07/02/2014
A0493-01308-2013-BP02|PROPOSED ERECTION OF ONE UNIT OF 3-STOREY DETACHED DWELLING HOUSE WITH AN ATTIC ON LOT 03327P MK 23 AT 92 PAYA LEBAR CRESCENT (HOUGANG PLANNING AREA)|ON LOT(S) 03327P  MK23 AT 92 PAYA LEBAR CRESCENT|MR CHUA HEE TONG CHT CHARTERED ARCHITECTS|ER WONG SENG TAM & WONG LLP|05/02/2015
A0504-00003-2010-BP01|PROPOSED RECONSTRUCTION OF A SINGLE STOREY INTERMEDIATE TERRACE DWELLING HOUSE TO A 3-STOREY INTERMEDIATE TERRACE DWELLING HOUSE ON LOT(S) 94206P  MK26 AT 21  EVERITT ROAD NORTH|ON LOT(S) 94206P  MK26 AT 21  EVERITT ROAD NORTH|MR CHIA YONG KWANG ARCHITECTS ACTION INTERNATIONAL INCORPORATED||26/02/2014
A0454-00459-2014-BP01|PROPOSED ADDITIONS & ALTERATIONS TO EXISTING PART SINGLE / PART 2-STOREY SINGLE-USER FACTORY BUILDING WITH ANCILLARY OFFICE ON LOT  04451M MK07 AT 60 , TUAS AVENUE 11 SINGAPORE 639106|ON LOT(S) 00451M  MK07 AT 60 TUAS AVENUE 11|MR PHILLIP BLANDFORD CONN INTERNATIONAL PROJECT TEAM|ER LIM KIAN PHENG LKP CONSULTANTS|16/02/2015
A0449-00501-2012-BP01|PROPOSED ERECTION OF A 2-STOREY SEMI-DETACHED DWELLING HOUSE WITH A BASEMENT, AN ATTIC AND SWIMMING POOL ON LOT 02793M MK 04 AT NO. 163 SIXTH AVENUE SINGAPORE 247811|ON LOT(S) 02793M  MK04|MR LAU WAI MUN LAU & ASSOCIATES|ER CHOW GEE YEONG THE ENGINEERS COLLABORATIVE LLP,ER CHEN YUE FENG KTP CONSULTANTS PTE LTD|25/02/2015
A0414-00112-2012-BP01|PROPOSED NEW ERECTION OF A 2-STOREY SEMI-DETACHED DWELLING HOUSE  WITH PROVISION OF BASEMENT AND ATTIC ON LOT 01407M MK 15 AT 10 MARIGOLD DRIVE (BISHAN PLANNING AREA)|ON LOT(S) 01407M  MK15 AT 10 MARIGOLD DRIVE|MR YANG KIAM WA YKW ARCHITECTS|Mr TEO JIN KWEE ATC CONSULTING PTE LTD,Mr TIONG HOO TUONG CITY-TECH ASSOCIATES|19/02/2014
A0236-00179-2010-BP02|PROPOSED A/A TO 2 STY CONSERVED BUILDING ON LOT 01013T TS 27 AT 216 ORCHARD ROAD FORMING PART OF PROPOSED REDEVELOPMENT TO THE EXTG SCHP AND EXTG OE AND A/A TO EXTG 2 STY CONSERVED BLDG INCLUDING A SUBTERRANEAN PEDESTRIAN LINK WITH RETAIL USE  AND A LINK|ON LOT(S) 01013T  TS27 AT 216 ORCHARD ROAD|MR WONG HONG YAN AWP PTE LTD|ER LEE TAT SANG T S LEE CIVIL STRUCTURAL ASSOCIATES, KAM MUN WAI MEINHARDT (SINGAPORE) PTE LTD|05/02/2014
A0241-00899-2010-BP02|PROPOSED ADDITIONS & ALTERATIONS TO THE EXISTING 2/ 4/ 5-STOREY PRIMARY SCHOOL (CHIJ PRIMARY-TOA PAYOH) WITH ERECTION OF A NEW4-STOREY BUILDING (BLOCK A) & A NEW INDOOR SPORTS HALL AT 4THSTOREY ROOF LEVEL OF EXISTING 4-STOREY BUILDING (BLOCK J) ON LOT(S) 05634K  MK17 AT 628 LORONG 1 TOA PAYOH|ON LOT(S) 05634K  MK17 AT 628 LORONG 1 TOA PAYOH|MR EDWIN SH CHOO ONG&ONG PTE LTD|ER YOU FOOK HIN MOTT MACDONALD SINGAPORE PTE LTD,Mr LIU XIANMING ERSS CONSULTANTS|21/02/2014
A0259-00470-2012-BP01|PROPOSED OF COVERED WALKWAY FROM BLOCK 328 TO DROP OFF POINT ON LOT 03299C MK 13 AT SEMBAWANG CRESCENT. (SEMBAWANG PLANNING AREA)|ON LOT(S) 03299C  MK13 AT 328 SEMBAWANG CRESCENT SINGAPORE 750328|MR TAN BIN YEE ACA AKITEK|Mr LENG KWEK MIN LENG CONSULTANTS|27/02/2014
A0301-14272-2014-BP01|PROPOSED CONSERVATION, ADDITIONS & ALTERATIONS TO AN EXISTING2-STOREY INTERMEDIATIATE TERRACE DWELLING HOUSE WITH A REAR EXTENSION ON LOT 99502M TS. 29 AT NO. 21 MARTABAN ROAD|ON LOT(S) 99502M  TS29 AT 21 MARTABAN ROAD|MR TANG WEE HOUE TANG WEE HOUE ARCHITECTS|ER PUA TECK SENG PTS CONSULTANTS|10/02/2015
A0309-00019-2012-BP01|PROPOSED ERECTION OF A 3-STOREY DETACHED DWELLING HOUSE WITH A BASEMENT AND SWIMMING POOL ON LOT(S) 05548W  MK27 AT 8C PALM DRIVE|ON LOT(S) 05548W  MK27 AT 8C PALM DRIVE|MR RAYMOND WOO KOK CHEW RAYMOND WOO & ASSOCIATES ARCHITECTS|Mr LEE FOH SANG CHONG & LEE CONSULTANTS,Mr CHOW GEE YEONG THE ENGINEERS COLLABORATIVE LLP|19/02/2014
A0236-00095-2006-BP02|PROPOSED NEW ERECTION OF A 20 STOREY HOTEL DEVELOPMENT WITH 2 BASEMENTS FORMING PART OF PROPOSED REDEVELOPMENT TO THE EXTG SCHP AND EXTG OE, A/A TO EXTG 2 STY CONSERVED BLDG, INCLUDING A SUBTERRANEAN PEDESTRIAN LINK WITH RETAIL USE AND A LINK BRIDGE ON LOT(S) 00473X , 00474L , 00475C , 00478V , 1413X  & 1414L  TS21 AT 277 ORCHARD ROAD|ON LOT(S) 00473X , 00474L , 00475C , 00478V , 1413X  & 1414L  TS21 AT 277 ORCHARD ROAD|MR WONG HONG YAN AWP PTE LTD|Mr TAN BOON LEONG BL Tan & Associates Consulting and Structural Engineers,Mr NASIM SHAHZAD MEINHARDT (SINGAPORE) PTE LTD,ER CHAI KIM POH K P CHAI ENGINEERING & MANAGEMENT CONSULTANTS,ER TAN CHARNG CHERNG TAN CHARNG CHERNG & ASSOCIATES,Mr NG CHENG KIAT NCK ASSOCIATES,Mr LEONG BOON CHENG B C LEONG & ASSOCIATES, KAM MUN WAI MEINHARDT (SINGAPORE) PTE LTD,Mr M SIVAKUMARAN SMS CONSULTING ENGINEERS,Mr THAM CHAI LOCK THAM ENGINEERING CONSULTANTS,Mr LIEW VUI LEE T J CONSULTANTS|27/02/2014
A0224-05115-2012-BP01|PROPOSED ERECTION OF A 2-STOREY CORNER TERRACE DWELLING HOUSE WITH AN ATTIC AND A SWIMMING POOL ON LOT 12634V MK 18 AT 64 SARACA VIEW|ON LOT(S) 12634V  MK18 AT 64 SARACA VIEW|MR WONG KOK YAN WONG KOK YAN CHARTERED ARCHITECT AND PLANNER|Mr WEE KAY CHARN EDP CONSULTANTS PTE LTD|13/02/2014
A0224-06350-2012-BP02|PROPOSED RECONSTRUCTION OF THE EXISTING 2-STOREY CORNER TERRACE DWELLING HOUSE ON LOT 02776N MK25 AT 15A ROSE LANE|ON LOT(S) 02776N  MK25|MR CHAI JUN YEA DESIGN@LOFT ARCHITECTS|ER CHEANG JEN BOON INTER-SYSTEM CONSULTANTS|02/02/2015
A0224-00296-2013-BP01|PROPOSED ADDITIONS AND ALTERATIONS INVOLVING A SINGLE-STOREY FACTORY EXTENSION TO THE EXISTING PART 2-STOREY / PART SINGLE-STOREY SINGLE USER INDUSTRIAL BUILDING ON LOT(S) 04305M  MK27 AT 18  BEDOK SOUTH ROAD|ON LOT(S) 04305M  MK27 AT 18  BEDOK SOUTH ROAD|ER WEE KAY CHARN EDP CONSULTANTS PTE LTD|ER WEE KAY CHARN EDP CONSULTANTS PTE LTD|17/03/2014
A0309-00012-2011-BP01|PROPOSED ERECTION OF A PAIR OF 3-STOREY SEMI-DETACHED DWELLING WITH A BASEMENT AND AN ATTIC ON LOT(S) 00324M  & 00325W  MK03 AT SIOK WAN CLOSE|ON LOT(S) 00324M  & 00325W  MK03 AT SIOK WAN CLOSE|MR RAYMOND WOO KOK CHEW RAYMOND WOO & ASSOCIATES ARCHITECTS|ER LEE FOH SANG CHONG & LEE CONSULTANTS,ER GARY NG WEE GIAP GNG CONSULTING ENGINEERS,ER HU XIANGBIN CORE TECH CONSULTANTS|12/03/2014
A0414-00113-2011-BP02|PROPOSED RECONSTRUCTION OF A EXISTING 2-STOREY SEMI-DETACHED DWELLING HOUSE TO A 3-STOREY SEMI-DETACHED DWELLING HOUSE WITH LAP POOL AND PROVISION OF AN ATTIC ON LOT 02422W MK 27 AT 42 JALAN REMIS|ON LOT(S) 02422W  MK27|MR YANG KIAM WA YKW ARCHITECTS|ER LEE HONG KEOW MTREE ENGINEERING CONSULTANTS|19/03/2014
A0418-01515-2014-BP01|PROPOSED ADDITION AND ALTERATION WORKS TO 1ST STOREY OF THE EXISTING 9-STOREY SINGLE-USER WAREHOUSE DEVELOPMENT WITH ANCILLARY OFFICE AND TEMPORARY STAFF CANTEEN ON LOT 04588V MK 06 AT 5 BUROH LANE (JURONG EAST PLANNING AREA)|ON LOT(S) 04588V  MK06 AT 5 BUROH LANE|MR KHAW POH KOOI 3HPARCHITECTS PTE LTD|ER GOH CHIN KOON GLT ENGINEERS PRIVATE|02/03/2015
A0449-00316-2012-BP01|PROPOSED ERECTION OF A 2-STOREY INTERMEDIATE TERRACE DWELLING HOUSE WITH AN ATTIC ON LOT(S) 98272K  MK18 AT 53 HYTHE ROAD|ON LOT(S) 98272K  MK18 AT 53 HYTHE ROAD|MR LAU WAI MUN LAU & ASSOCIATES|ER LEE CHOW KHOON WATT ENGINEERING CONSULTANTS|25/03/2014
A0448-00201-2013-BP01|PROPOSED ADDITION & ALTERATION TO THE EXISTING 2 1/2-STOREY CORNER TERRACE DWELLING HOUSE ON LOT(S) 05920L  MK18 AT 1 LI HWAN TERRACE|ON LOT(S) 05920L  MK18 AT 1 LI HWAN TERRACE|MR TOW SIANG CHOW JTP ARCHITECTS|ER LENG KWEK MIN LENG CONSULTANTS|18/03/2014
A0449-00028-2014-BP01|PROPOSED RECONSTRUCTION TO EXISTING 2-STOREY INTERMEDIATE TERRACEDWELLING HOUSE WITH ADDITION OF AN ATTIC ON LOT 95577N MK24 AT 80 SIANG KUANG AVENUE|ON LOT(S) 95577N  MK24 AT 80  SIANG KUANG AVENUE|MR LAU WAI MUN LAU AND ASSOCIATES|ER GOH YONG CHENG YC GOH CONSULTANTS|06/03/2015
A0449-00030-2010-BP02|PROPOSED ERECTION OF A 2-STOREY DETACHED DWELLING HOUSE WITH BASEMENT AND ATTIC ON LOT 00670W MK 04 AT NO. 50 NAMLY AVENUE|ON LOT(S) 00670W  MK04 AT 50 NAMLY AVENUE|MR LAU WAI MUN LAU & ASSOCIATES|ER CHONG KENG WEE PROMPT ENGINEERING CONSULTANTS PTE LTD,ER CHOW GEE YEONG THE ENGINEERS COLLABORATIVE LLP,ER LIU XIANMING ERSS CONSULTANTS|09/03/2015
A0454-00437-2012-BP01|PROPOSED RECONSTRUCTION TO AN EXISTING 2-STOREY DETACHED DWELLING HOUSE WITH A NEW SWIMMING POOL ON LOT(S) 01009A  MK31 AT 31  TOH CRESCENT|ON LOT(S) 01009A  MK31 AT 31  TOH CRESCENT|MR PHILLIP BLANDFORD CONN INTERNATIONAL PROJECT TEAM|ER KEE KAM OON PK PROJECT CONSULTANTS|05/03/2014
A0484-01956-2013-BP01|PROPOSED REGULARISATION AT EXISTING 2-STOREY SINGAPORE SYNCHROTRON LIGHT SOURCE BUILDING AND RECONSTRUCTION OF GAS SHED ON LOT(S) 03891P , 03984K , 04340V , 04342T , 04343A , 05023L  & 05025M  MK03 AT 5 RESEARCH LINK|ON LOT(S) 03891P , 03984K , 04340V , 04342T , 04343A , 05023L  & 05025M  MK03 AT 5 RESEARCH LINK|MR GOH CHONG CHIA ONG & ONG PTE LTD|ER TAN JIOK SAW JS TAN CONSULTANTS  PTE LTD|04/03/2014
A0489-00002-2013-BP01|PROPOSED ADDITION AND ALTERATION TO A 3 STOREY SEMI-DETACHEDDWELLING HOUSE ON LOT 1561 MK 20 AT 49 SPRINGLEAF AVENUE|AT 49 SPRINGLEAF AVENUE|MR GOH SIEW HUAT RG ARCHITECTS|ER CHAN YAW FAI Y. F. CHAN CONSULTING ENGINEERS|26/03/2014
A0489-00005-2013-BP01|PROPOSED ERECTION OF A 2-STOREY DETACHED DWELLING HOUSE WITH BASEMENT, ATTIC AND SWIMMING POOL ON LOT(S) 01480A  MK15|ON LOT(S) 01480A  MK15|MR GOH SIEW HUAT RG ARCHITECTS|ER WANG KHANG NENG EPM CONSULTANTS|11/03/2014
A0489-00012-2014-BP01|PROPOSED ADDITION AND ALTERATIONS TO EXISTING 3-STOREY INTERMEDIATE TERRACE HOUSE WITH NEW ATTIC ON LOT(S) 07126P  MK26 AT 161  LORONG L TELOK KURAU|ON LOT(S) 07126P  MK26 AT 161  LORONG L TELOK KURAU|MR GOH SIEW HUAT RG ARCHITECTS|Mr WANG KHANG NENG EPM CONSULTANTS,ER SOH MENG SENG CERICORN CONSULTANTS|31/03/2015
A0489-00006-2012-BP03|PROPOSED  ERECTION OF 2-STOREY CORNER TERRACE DWELLING HOUSE WITH ATTIC ON LOT 95609W MK 24 AT 24 KEE CHOE AVENUE|ON LOT(S) 95609W  MK24 AT 24 KEE CHOE AVENUE|MR GOH SIEW HUAT RG ARCHITECTS|ER CHAN YAW FAI Y. F. CHAN CONSULTING ENGINEERS,ER GARY NG WEE GIAP GNG CONSULTING ENGINEERS|06/03/2014
A0489-00007-2012-BP02|PROPOSED ERECTION OF 2 UNITS OF 2 STOREY DETACHED DWELLING HOUSE WITH ATTIC AND SWIMMING POOL  ON LOT 96457A MK 17 AT DUNSFOLD DRIVE|ON LOT(S) 96457A  MK17 AT 20 DUNSFOLD DRIVE SINGAPORE 359382|MR GOH SIEW HUAT RG ARCHITECTS|ER WANG KHANG NENG EPM CONSULTANTS|11/03/2014
A0489-00009-2012-BP02|PROPOSED ERECTION OF A 2-STOREY SEMI-DETACHED DWELLING HOUSE WITH ATTIC ON LOT 00403A MK 4 AT 10 FIR AVENUE|ON LOT(S) 00403A  MK04 AT 10 FIR AVENUE|MR GOH SIEW HUAT RG ARCHITECTS|ER CHAN YAW FAI Y. F. CHAN CONSULTING ENGINEERS|23/03/2015
A0506-00033-2007-BP02|CONDOMINIUM HOUSING DEVELOPMENT COMPRISING NEW ERECTION OF 1 BLOCK OF 5-STOREY WITH ATTIC AND 1 BLOCK OF 6-STOREY WITH ATTIC RESIDENTIAL FLATS (TOTAL 64 UNITS), 1 BASEMENT CARPARK AND COMMUNAL FACILITIES AND ADDITIONS & ALTERATIONS TO EXISTING SINGLE-STOREY CONSERVED BUILDING FOR CLUBHOUSE USE ON LOT(S) 00305T , 00718V , 00719P  & 01019M  TS28 AT 9 BUCKLEY ROAD,  11 BUCKLEY ROAD|ON LOT(S) 00305T , 00718V , 00719P  & 01019M  TS28 AT 9 BUCKLEY ROAD,  11 BUCKLEY ROAD|MR LEE KUT CHEUNG RSP ARCHITECTS PLANNERS & ENGINEERS (PTE) LTD|ER SONG WEE NGEE KTP CONSULTANTS PTE LTD,ER CHEONG KUAN LEONG K L CHEONG & ASSOCIATES,ER GARY NG WEE GIAP GNG CONSULTING ENGINEERS,ER CHEN YUE FENG KTP CONSULTANTS PTE LTD|28/03/2014
A0506-00033-2014-BP01|PROPOSED ADDITIONS AND ALTERATIONS TO THE EXISTING ATRIUM @ ORCHARD INVOLVING RECONFIGRURATION OF RETAIL AND F&B TENANCY UNITS ON LOT 00649X TS 20 AT 60A, 60B ORCHARD ROAD|ON LOT(S) 00649X  TS20|MR LEE KUT CHEUNG RSP ARCHITECTS PLANNERS & ENGINEERS (PTE) LTD|ER LAI HUEN POH RSP ARCHITECTS PLANNERS & ENGINEERS (PTE) LTD|24/03/2015
